age,income,credit_score,transactions_month,avg_purchase_value,days_since_last_login,tenure_months,num_products,gender,region,churn
56,,770.8874695863384,29,84.82868870352047,143,90,1,Male,South,1
69,53051.954538008344,622.0254670069778,41,133.94380479443922,72,96,4,Female,East,1
46,38654.73882073545,665.727930802632,36,114.99302286467343,155,88,3,Male,North,1
32,28666.19435603489,715.2813582311163,29,153.87528415539657,76,110,2,Male,South,0
60,40301.4067363621,,27,115.3910306979121,168,99,2,Male,East,1
25,,526.7433831613457,18,104.60228446359676,286,37,4,Female,South,0
38,75307.12452608848,,40,141.6363407424396,84,96,1,Female,North,0
56,63224.59635424176,738.3808872399028,35,155.04676668764932,181,71,3,Male,West,1
36,49880.41038025074,611.3699297875287,33,93.26619220612793,314,33,4,Male,West,1
40,72199.16208335038,829.0739499967776,24,117.55697314590496,296,31,4,Male,East,0
28,254852.4782908424,610.5026680939828,20,77.66237465433389,111,55,2,Male,West,0
28,37080.73698007604,662.9185912237925,36,20.077559300282417,229,12,3,Female,East,0
41,72846.86115904486,757.9476966797513,22,128.01838525654915,95,11,1,Male,South,1
53,58083.65065526988,790.4265021711386,27,144.35621425018527,167,88,2,Female,East,0
57,34441.30768510315,794.3052503645479,30,130.48267236346902,155,72,4,Male,East,0
41,47144.91982874588,734.58563614152,28,42.017531289825314,104,32,2,Female,East,1
20,36865.726199228644,721.6843768068023,27,105.96602279694102,192,57,2,Male,West,0
39,29258.00403553496,691.4768864440828,43,31.26608959795675,329,38,5,Female,East,1
19,63892.66321297462,704.4852753316646,28,174.7880443061674,131,60,2,Female,North,0
41,78641.24960705196,611.4169998570027,22,76.55781671527656,354,86,2,Female,East,1
61,29021.486392712883,592.7260781604385,31,170.21614437839585,137,98,3,Male,South,0
47,58444.538550358564,649.7637879812333,33,157.83478574736583,330,19,2,Female,North,1
55,40240.361463172594,638.087076423255,37,83.97638589855754,269,116,1,Male,South,1
19,42693.11924352956,618.2740365470908,29,74.6886019492902,37,84,4,Female,South,0
38,41114.09113641696,698.7471213219701,24,134.01480865545352,44,56,3,Female,South,1
50,37040.138454802756,716.8713645999358,24,86.22703851267715,162,14,2,Male,North,0
29,50727.82441917241,656.1884820404293,25,124.0993856863283,330,33,1,Female,North,1
39,37535.748253834434,753.4271056738684,24,100.68689636772326,252,10,4,Female,West,1
61,54056.85238669758,570.0817620106546,34,48.75366342137467,168,80,3,Male,North,1
42,49246.42835826294,636.4438378504198,30,30.781279235021643,284,64,1,Female,East,1
66,46415.77929700386,599.8224375578036,21,129.06736993978387,273,64,2,Female,South,1
44,36386.545069376036,519.3424368048858,24,97.53769014677499,19,62,5,Female,West,1
59,41348.43004147501,,25,97.8764073234347,238,68,5,Female,North,1
45,61330.86838738634,641.4776744131701,22,147.8345535637514,269,91,3,Male,South,0
33,57513.75781436571,755.9414820269492,30,166.9376910652978,309,92,1,Female,North,0
32,35336.67132802174,694.1568179188345,26,109.09821114552763,30,43,4,Female,West,1
64,51489.98458143839,578.3069222969557,28,106.37605172360554,313,80,1,Female,North,1
68,61270.80685057683,779.7864796433932,32,140.00572132455534,103,59,5,Female,North,1
61,24958.920783179423,735.4723586867747,29,65.72257721201699,169,52,3,Female,South,0
69,58150.402885699026,690.7468392428032,31,128.9261221899079,185,97,2,Female,East,1
20,40060.643615812296,,33,142.07543887288617,127,112,1,Female,North,0
54,58558.98002889739,582.8392534293564,30,147.20920833670516,209,19,5,Female,West,1
68,38551.11265186225,623.9455256750263,37,42.5298918999014,280,21,4,Male,North,1
24,22926.768490032213,726.212403379293,30,,252,22,3,Male,North,1
38,25586.86343175256,781.9210414154227,32,84.86946988706134,18,9,2,Male,East,1
26,50721.27419992073,758.0270469790532,27,123.99547817636852,199,9,1,Male,South,1
56,53895.83752582223,615.7805404749608,33,139.22978319071936,219,73,4,Female,West,0
35,36435.25062343387,571.6267796697692,28,179.86841629783925,135,27,2,Female,South,1
21,59578.88688166061,659.8620372837843,25,100.20138078527708,222,17,5,Male,South,0
42,25077.1990659656,526.2092444106004,29,100.09710006763144,2,44,5,Male,South,0
31,49008.80302029025,672.6217399929347,35,165.98688075514988,235,45,4,Male,North,1
67,31834.75700356315,639.6678189590932,30,131.8630775412122,341,8,5,Female,East,1
26,40222.45838296761,617.377444869223,32,170.70606044751895,227,80,3,Female,North,1
43,,538.3707852913243,26,,141,18,4,Male,West,0
19,37093.799520740715,685.9520074598802,34,73.71533525146916,8,33,5,Male,East,0
37,44231.66683655262,612.7109412236662,36,66.67486580888774,189,1,1,Male,South,0
45,65094.39213821661,568.1058215002798,27,57.93951003764284,349,76,5,Male,East,1
64,41346.62195715277,448.94164507028455,29,146.48207339033894,164,6,3,Male,West,0
24,62535.38168097712,648.0739566464555,29,167.5438729234803,138,41,2,Female,North,0
61,33054.397180135726,774.0576117668821,28,193.97448565545523,275,55,2,Male,North,0
25,57947.06266872924,766.2881450183509,38,153.72421329292962,290,5,5,Female,South,1
64,71623.5293098685,,20,166.51354310139942,52,59,2,Male,North,0
52,12925.332498090662,607.8451557746754,28,96.79934669385261,174,80,5,Male,North,0
31,38046.57116794285,682.8141979252516,46,73.74336733024573,109,18,3,Female,West,1
34,58656.081907708096,580.1130192568196,32,154.00317329670213,202,49,2,Male,East,1
53,46954.31920935511,671.1254329873626,28,136.70723008957603,135,82,1,Female,North,1
67,55567.188100569634,703.6256194869284,31,124.2977749736357,3,65,5,Female,West,0
57,40940.22219926269,735.8853256719016,25,135.4948592253196,154,83,2,Male,West,0
21,51298.8468120935,642.9892146464033,28,132.92741929832823,171,54,3,Male,South,0
19,47664.84146911881,635.7428374876124,28,171.35267439414247,357,61,3,Female,West,1
23,67516.73092489711,588.5412189270407,34,171.79942339267825,46,8,1,Female,South,0
59,53816.31264951819,592.1183752172097,33,141.76881409361388,93,3,3,Male,North,1
21,55064.039931128034,634.1464775668932,25,153.83211490251713,47,25,3,Female,South,1
46,43821.84550816299,675.7155854771324,30,140.56250209699104,239,69,2,Male,West,0
35,42685.906638912595,713.9509238363274,35,101.55321071861525,346,55,5,Female,East,0
43,43511.627182705684,593.7774734523758,31,150.2625869965256,212,40,4,Male,East,0
61,55916.78213567445,754.4881998271666,35,64.22019724562954,339,83,3,Female,North,1
51,43685.232787696055,631.0213479270202,35,,323,82,3,Female,North,1
27,54346.62285344619,648.5042893956095,35,72.2190824093586,138,50,4,Male,East,0
53,81131.01197968159,597.6951824596524,23,131.43213147178932,204,117,3,Female,South,1
31,63066.87055147538,480.3031817808941,32,86.19384166295364,72,95,2,Female,North,0
48,45109.647017482384,711.8831777452734,24,142.13555932297706,3,33,2,Female,West,0
65,68018.20883245918,701.5790727964703,38,118.64299096288364,75,111,4,Female,North,0
32,43878.86940467673,630.307071001725,39,56.2097616734667,328,18,3,Female,South,1
25,19428.13197233219,654.689350205741,32,136.82798524073917,76,57,3,Female,North,1
31,34878.70533623894,686.115745239287,38,96.88316892669158,303,103,5,Female,West,0
40,21938.121184612166,540.621790017942,32,155.24586883253477,255,16,3,Male,West,0
57,,612.9663125857594,30,120.0530275493763,101,80,2,Female,West,1
38,,705.5985275735279,26,135.8168394155215,105,111,1,Female,South,0
33,75146.55968412924,562.1997403781526,27,81.69724179939152,332,38,1,Male,South,1
62,54903.910606462436,670.5490552516641,25,96.42671074290553,38,41,1,Female,West,0
35,46713.49206786704,555.0392736763616,39,101.65445455595662,313,7,1,Female,West,1
64,62441.083717752335,682.6500987703469,24,154.26809920970223,274,78,3,Male,South,0
41,,647.5050962391762,33,187.09508351221956,87,107,3,Female,South,1
43,53534.21837162849,536.9407728866144,36,87.79312993028495,210,53,5,Female,South,0
42,61562.9779083045,731.531754812002,35,163.0739257863072,76,63,3,Male,East,1
62,27821.206313302377,598.5785896241366,33,33.21290329097192,76,112,1,Male,South,1
58,67156.31064810394,593.2823294089933,41,72.23242395630842,27,89,4,Female,West,1
46,55077.44611241621,664.039843806166,27,81.648861752529,244,32,4,Female,East,1
32,43770.681291487985,730.4046144600101,24,65.8996524223711,65,38,2,Male,South,0
62,59491.72799159427,578.8924726715122,25,56.6564644084968,265,22,2,Female,West,1
18,84060.39286706594,654.317589489358,26,136.5199564855119,204,16,3,Male,North,1
42,52727.99382587743,680.01715502314,34,111.43729209088555,57,52,4,Male,East,0
24,53723.30879450504,698.5173925084201,21,135.17621590420438,200,29,1,Male,West,1
26,43109.58650689634,662.3509088694058,28,147.61890744486053,224,16,1,Female,North,0
41,37252.33445802813,624.3080512641675,25,130.62467972690135,141,76,1,Male,West,1
18,62455.03724816369,592.0686845545896,27,146.31052704601495,83,17,3,Male,South,1
61,37158.74261136699,656.0300718132462,38,117.21870855030923,142,101,3,Male,South,1
25,51073.49355829089,574.9502691610076,26,72.52026446777022,351,64,5,Female,North,1
41,42835.13829852325,445.50546615537746,20,162.31256723283184,32,91,1,Female,South,1
28,57184.697386195876,680.5591862910368,34,96.43551468875492,151,89,1,Female,West,1
68,55004.931579304226,713.2754388760337,25,82.57614804950296,157,13,3,Male,North,0
34,65563.0991638685,484.59472951207135,28,112.88328496782407,140,72,3,Female,West,0
25,42349.75401717879,579.3188506703044,35,83.48756322813948,250,56,5,Female,West,1
52,45951.87597059943,,27,103.30278472042271,302,5,5,Male,West,1
52,35318.54426326539,794.0246828798189,25,133.76215686253866,111,12,2,Male,South,0
50,43335.60109885833,651.4555595372785,35,133.93366956984508,143,41,4,Female,South,0
22,55659.50739567279,599.0397941139606,34,84.08679734297482,208,3,1,Female,West,1
59,,,36,100.49178508205021,223,99,1,Male,East,1
56,36167.52013733562,746.241349340373,31,162.97332019080974,42,33,5,Female,West,1
58,63044.088801584905,604.7825074612825,37,139.85600470935765,263,86,5,Male,West,1
45,70334.56788207426,594.0565595344823,34,203.00260157394166,243,50,2,Male,North,1
24,56201.523548355515,616.2079534472578,33,167.20512694966112,2,56,4,Female,West,1
26,78151.937188371,583.2669974218901,25,165.77172274239757,124,108,2,Female,South,0
25,38393.1620134464,658.5869221196357,27,64.48525798176792,267,9,4,Female,North,1
29,,,35,150.5544140653369,83,105,1,Female,East,1
51,23319.19626643582,672.6155491181221,31,117.87572793212357,15,82,2,Male,North,0
50,72440.66467233775,632.3352548511599,29,97.96072785847002,333,50,5,Female,East,0
65,59815.484845310864,629.5732111759119,33,126.72061362130114,58,29,2,Female,North,0
40,49166.229936343174,540.576643391234,41,157.80846138445935,176,39,2,Female,North,0
41,54199.529394797304,711.8176844003011,30,140.03326364016846,62,91,1,Male,East,1
54,33117.66429052435,644.5513962091038,33,84.8610479463176,48,100,5,Female,South,0
52,86686.27969425239,637.3664060486562,26,149.69835654370482,306,45,5,Female,South,0
61,51938.31772962841,873.5175297491403,32,94.49649831696144,245,17,3,Male,South,1
57,51640.92191907339,670.912703585598,24,128.66732475857145,288,56,3,Male,North,0
39,60886.49935848038,597.3746264933371,29,107.86599730091463,285,98,3,Male,West,0
44,57215.1384760507,620.154968265612,36,111.24534993057497,331,46,1,Male,North,1
52,53358.26036418697,730.3911996437728,32,150.64971900162038,14,67,2,Male,West,1
18,38142.88316832032,657.9289287376436,36,78.39225120736408,337,69,5,Female,West,1
52,,549.3205415177844,44,197.8078029710773,254,14,5,Male,South,1
54,254852.4782908424,,30,47.15655722822015,91,67,2,Male,West,1
64,70181.30069232467,603.2299140122705,23,96.09329266980572,278,23,5,Male,North,1
31,73897.79939959096,781.1308443352282,31,134.80847559766963,205,103,2,Male,North,1
20,254852.4782908424,725.6033646000254,28,143.3725666574124,93,94,1,Male,South,0
18,35155.92769612129,618.6874673038874,21,115.98097117713179,224,114,1,Male,East,0
22,48113.19619850528,739.6711453214579,33,,300,109,1,Male,North,1
43,50835.87368433042,654.7498857369183,24,136.42200341310468,317,61,2,Male,West,0
31,66412.87277706423,709.6941572585554,26,110.75722090169279,198,23,2,Female,North,1
56,24613.03055427771,683.9312972106133,38,175.72725031739623,270,27,4,Female,North,0
44,72943.2547919092,590.7550341506388,36,153.5739645692641,233,54,5,Female,North,1
26,47629.88152131516,604.9515117377777,27,154.91297404022538,45,10,5,Male,East,0
32,43596.7839507887,722.0972572306813,21,81.35373106518333,63,89,4,Male,West,1
32,34818.434371097486,,20,116.82446302377188,229,77,4,Male,South,0
43,25177.14992201346,621.7446075730602,25,107.98136205117186,248,16,1,Female,North,1
59,62347.55875942872,583.1414194455454,26,79.77594497242137,245,41,4,Male,West,0
30,51099.76950782606,679.6519345915423,24,134.40656735783068,74,98,2,Male,West,0
68,30650.58650388419,794.3767443470201,26,,156,55,3,Male,South,1
49,30573.818419045758,575.2726960022009,27,146.21615319400948,222,101,2,Female,North,0
56,44963.229510648074,651.695361967093,25,77.19233748422673,189,61,4,Female,East,0
66,75035.32287934089,748.85543887908,26,188.76162451367284,51,86,5,Male,West,0
69,46106.12972954593,644.4251026128,33,84.14669365631752,87,81,2,Female,South,0
49,27452.855703228408,681.6660257374814,25,,312,87,5,Male,East,0
21,46313.85403871084,575.6324530297184,23,151.6743724155227,338,118,2,Male,West,1
47,45909.146453784946,679.9814968045354,37,97.17438279199548,65,100,5,Female,North,1
54,9546.700355876426,636.8999014496816,21,154.09874573731804,149,49,2,Female,West,0
40,49185.577002232814,719.0010996975905,27,70.83265608798335,19,73,5,Female,East,1
56,46535.98204686983,733.1170236095326,35,178.08470796730242,32,52,3,Female,East,0
62,60443.095472201276,831.2694549413029,31,120.56597059863033,327,2,1,Male,North,1
32,77734.34142418018,690.5743221249503,23,96.14354368124481,280,96,2,Male,North,0
60,66898.47544321636,672.8057421607516,26,108.03272910290262,45,50,3,Female,South,0
46,45966.669641677545,663.6069011104136,21,152.35677077570878,72,117,1,Female,North,0
53,33402.11136887495,625.2783595032519,27,96.62178832598246,353,86,2,Male,South,0
30,,673.6938690423184,19,90.0256924230889,312,43,3,Male,East,1
49,50888.27651021732,629.321901290268,29,111.13853609665047,342,77,3,Male,East,1
24,254852.4782908424,661.792268338873,31,72.92151548920128,132,8,3,Male,West,1
68,49638.12369334995,742.2318274925572,27,192.82175631767262,54,59,4,Female,West,0
39,52971.271411517824,579.5420204304252,38,97.34421635141106,60,65,5,Female,South,1
45,47834.593821140865,729.7914992790331,24,153.26467144721613,344,81,1,Female,North,1
19,41395.069896796456,742.1980547137906,34,128.3788033459109,7,12,5,Male,North,0
59,41797.115881394115,641.7352031106245,30,80.61863798072127,271,4,5,Male,West,0
62,49508.70094676002,501.4701570693984,28,119.76181163149083,245,117,5,Female,East,0
23,41848.62843299352,,28,151.36011117242992,175,77,3,Female,South,1
45,39307.313259842536,740.7896182592776,29,112.46954659654774,115,95,5,Female,East,1
45,51596.453415378455,648.3992356390783,23,167.7245178340411,316,41,4,Male,East,0
61,46175.34173868717,580.0488437393562,42,160.86061571127456,270,7,2,Female,North,1
61,72559.89482874033,614.6657555140248,31,156.7565941863332,192,87,3,Male,South,0
37,10235.45287410482,708.8434018553187,30,101.61372910908013,149,88,1,Female,East,1
47,66372.60277883692,688.2713497740965,25,76.80630208874052,130,69,2,Female,West,0
28,68691.27788746444,633.2747530581214,28,95.45649578548822,101,69,2,Female,West,1
45,18899.146513877757,624.3222911729719,23,127.84963762666882,309,81,2,Male,North,1
42,44859.68608879477,622.5769295669324,24,141.8314685412942,269,30,5,Male,West,1
56,44428.38701006313,585.4312870851048,25,33.1371438095821,291,73,5,Male,West,0
50,28887.32457923268,763.076298262861,36,119.67547193552998,209,6,3,Male,East,0
18,38332.74968613687,627.4375671552062,31,126.32356901292738,360,89,5,Male,West,0
44,33341.36231801257,735.2010964577847,28,108.89822974737794,337,19,5,Male,West,1
69,76284.05665135435,756.4921236345716,28,171.65095356063517,66,80,5,Female,East,0
30,64035.17589721191,719.8817628703572,31,136.87120297003483,9,85,3,Male,North,1
58,69073.32642491237,619.7865781097366,35,172.40767632323588,48,66,3,Female,North,0
20,60825.08096064853,678.2611063235627,33,111.3615791859907,110,10,4,Male,South,0
56,33064.22343174156,648.3063075526359,25,157.499099700277,320,16,4,Female,West,1
23,42132.196005803395,586.740869748891,26,185.40265578110078,218,37,4,Female,East,1
25,57340.61841841877,672.7051497205122,35,172.46773797090646,56,79,4,Male,South,0
44,31668.082866620818,567.4672146188138,34,76.31433626285067,282,77,2,Female,North,0
26,60694.97645258582,733.1375571923095,29,109.85295689830477,112,77,2,Male,North,1
54,46395.119027627974,617.4767891891125,21,106.19341178200814,132,32,4,Male,East,1
50,44377.68788675604,664.0811759110987,39,139.5701814030531,70,109,4,Male,South,0
68,,669.8301510082299,26,147.45414220058132,82,47,1,Male,South,1
59,56663.9496722906,631.8766518407145,29,86.44429303897056,56,110,2,Female,East,0
61,254852.4782908424,691.0685661032692,34,122.7135405566775,348,72,1,Male,East,0
41,67389.94705046373,616.7567440364232,30,39.202906713754544,270,43,1,Female,South,0
32,33784.05008600154,710.9908108220071,35,177.67780023207558,110,82,5,Female,North,1
49,59239.034104163955,555.7814223827276,36,99.50503037293225,356,36,3,Female,West,0
49,58896.51886952575,658.8465705682488,27,122.23455759377988,75,26,2,Male,North,0
41,45356.803410290144,785.7250299340799,30,107.61401144047755,157,10,4,Female,East,1
58,,579.9768072776097,18,165.8411030005366,19,31,4,Male,South,1
69,31233.296354220456,602.5578520632604,31,6.499742344104845,130,97,3,Female,South,1
66,63860.40528810352,685.973549476124,36,119.33558630696363,328,29,2,Male,West,0
66,47226.46795335517,662.5707247357718,25,115.76724970009208,121,5,4,Male,South,1
69,42159.154692214404,674.5441069491492,34,101.8545444963327,40,77,4,Male,West,1
29,65735.13838755334,684.2430991103364,32,189.0490618254253,166,1,5,Male,North,0
56,39434.84464185861,694.4305027993239,24,,129,87,1,Female,North,0
19,254852.4782908424,727.6789889369356,35,150.87184708942644,22,104,4,Female,South,0
20,26650.562397141442,678.6873059849959,34,134.25011154824335,278,3,2,Male,South,0
66,59090.14927018459,633.111964176702,35,170.46077010142062,250,67,3,Female,East,1
54,30793.559712555754,697.0801590841912,33,93.31243660889979,8,71,5,Male,East,0
66,76321.91272976546,782.9917354426651,40,90.68124403504964,12,100,2,Male,South,1
34,18771.058881744168,640.7156377532199,19,163.84279629909594,306,35,5,Female,South,0
66,75446.84552435057,581.7829486730551,36,137.01285233320442,319,15,1,Male,North,0
19,53165.26200803927,727.4956468500881,35,58.202506132929656,51,104,4,Male,South,1
19,48549.30332194411,641.5733185232481,27,98.42779942146919,208,67,2,Male,East,1
45,41826.21369786575,497.9131317790175,40,135.45530615392244,37,93,3,Male,North,1
40,55987.04171528106,709.3195174005295,32,153.51056886186356,99,30,1,Male,West,0
54,49435.47946362727,612.5270269832254,27,,192,103,1,Female,East,0
49,66549.52823024782,643.6626702387088,34,3.4297604073223624,190,82,5,Female,East,1
50,,673.238623139831,33,140.92892742948132,50,75,1,Female,North,1
18,52254.52642192817,663.3349775845346,27,71.18717240224098,140,43,2,Male,West,0
36,44545.81681679216,699.6616271997327,29,39.306448075103546,167,113,5,Male,East,1
19,49145.81564418399,619.515954060111,27,6.706963000634374,310,60,1,Male,South,1
61,54617.026533380886,685.9174058723258,41,152.55923440790966,108,102,3,Male,East,0
43,24347.474110150615,631.8317325691258,28,125.14469801619866,206,40,2,Male,North,1
49,29777.218668414305,701.7167336621252,19,110.97374477150993,299,65,3,Male,North,0
23,61148.96141034072,693.0757238809138,24,175.56097451851048,109,29,3,Female,North,0
49,52562.981571919125,584.5192908568783,29,145.4929873209229,195,74,5,Male,East,0
21,47240.24995470981,726.0187481322523,26,184.65200170887667,151,92,4,Female,West,1
28,50276.5089959809,612.4825588420166,33,64.29058111332014,242,95,5,Male,South,1
34,55213.72558042507,706.5640458796802,34,118.61797504184146,127,19,2,Female,North,1
55,41903.60479535958,675.7101119380939,34,55.331465002079426,104,3,2,Male,West,1
41,38325.42911896531,778.6728573756586,33,110.82470672578131,9,36,5,Female,South,0
22,52937.67882646522,634.3573812339704,28,110.0553658493329,355,43,4,Female,North,0
69,,625.5478242717262,27,145.06454549052285,147,15,5,Male,South,1
51,56123.79133571708,648.6406275878587,26,121.82255524567593,364,97,2,Male,South,1
23,24461.245936432395,628.7774152016007,24,144.93628553119663,363,41,4,Female,West,1
39,65437.33455988466,705.9959331359435,29,148.13760532555577,139,107,2,Male,South,1
28,57088.96223619564,536.8582574094388,22,206.19714709532568,189,115,4,Male,North,0
65,53840.44601470813,576.2422306597553,30,107.38813378855502,93,109,4,Male,West,1
33,64740.36475918271,575.2537954894565,30,,228,90,5,Female,East,0
50,74982.11666693864,716.5215314381503,31,129.84334461265635,62,80,5,Male,East,1
26,65215.55097527196,769.7429360807348,24,87.90879891441827,339,36,5,Female,West,1
23,22386.88653002532,642.688554702377,31,179.27843073746143,24,97,4,Female,East,1
33,30806.345498964478,638.1824793766992,27,108.6712784421907,267,84,4,Male,South,0
46,40627.72133456482,654.9036514179227,36,97.37694528504039,280,77,2,Female,North,1
20,50391.36575316251,731.3314811825733,28,101.14737115395528,10,33,3,Male,South,0
37,57764.88530703685,585.0852806066598,35,148.73669693886563,319,5,5,Male,West,0
53,39113.84280269802,666.6858287914349,31,113.69012067074058,200,101,2,Female,North,1
36,52801.50146715617,,25,,125,78,2,Female,West,0
43,38669.256014700164,685.0765918957892,31,,305,91,1,Female,West,0
20,40827.23295512078,663.270713161912,30,,189,87,5,Female,West,0
36,28900.083547276667,720.0732264796999,24,121.42264296131974,88,14,2,Female,South,1
37,,460.7737394900534,29,146.0922460644092,354,104,1,Male,North,0
49,29724.730915754997,697.4512723671635,18,54.746595583317074,115,68,5,Female,North,0
24,35361.90120534001,604.2147021810804,33,,351,103,4,Male,North,1
69,65804.62694911759,521.855697220048,25,77.79569298078202,176,116,1,Male,South,1
58,35759.01666752085,685.7841819667486,26,152.9113112333601,13,83,4,Female,East,0
50,89485.73097256086,746.156098161407,28,81.49395952324095,256,47,3,Female,South,0
57,57399.76851321334,640.3786039760615,36,147.71076127395443,208,54,3,Female,South,0
56,52772.54185542311,716.7012183042057,27,164.2333226517885,280,4,3,Female,West,0
35,37124.6332972818,762.8594780592052,35,154.4574610253122,327,94,3,Female,North,1
57,60504.64819113487,742.0440117508833,25,130.0526659295241,324,83,2,Male,North,1
18,41365.43260643339,764.7975170559976,29,110.74796228281203,104,95,3,Male,East,0
28,51830.147219680424,701.9489243750324,36,96.94321694660624,146,95,2,Male,East,1
45,88401.26807403192,655.2803547231115,28,178.84138763268416,278,9,2,Female,West,0
42,48559.10150413025,537.8623931671982,36,92.02019119329427,8,53,5,Female,North,1
67,,632.7756258309036,29,78.51735705720016,117,77,2,Male,East,1
40,39452.35362311169,590.9727383278666,40,146.6147574013132,93,78,2,Female,East,0
48,49475.17264254557,801.965990224847,40,88.15452787254019,143,119,3,Female,North,0
47,76562.00953453264,637.6879931297365,30,81.9974601013549,288,60,2,Female,South,0
59,40595.494133183485,658.624336474914,30,62.255829513209406,13,46,4,Male,East,0
52,77186.72836995393,688.6039763228328,24,100.6836064215793,256,54,3,Female,North,1
24,60616.279031832135,653.0521712460718,34,116.69139904414027,345,74,1,Male,East,1
33,41562.99836158598,768.6535728301527,29,129.72366910642796,185,112,3,Female,West,0
43,59486.116085832815,606.4145446785884,33,,344,95,2,Female,East,1
65,64588.316744400945,663.622521866607,28,141.07591694663174,206,37,4,Male,North,1
69,59327.149433257946,598.0270590011366,28,112.36511121787281,345,23,3,Female,East,0
66,26446.629201643154,557.5984242145506,36,112.0721729448112,171,27,4,Female,West,0
19,39092.94236262697,607.17616363663,28,140.40629875660733,269,70,1,Female,West,1
18,254852.4782908424,647.4074242066112,22,170.90280651714278,220,90,1,Male,East,0
65,48883.498563499306,619.9488442837918,29,125.052567979328,151,66,5,Female,East,0
29,59310.08146326017,601.53053140883,33,101.23476583158364,110,109,5,Female,West,1
22,52665.51501399881,551.5577775429716,28,80.28535995657819,182,61,3,Female,West,1
54,29969.83461934848,644.1826099159914,24,,338,77,5,Female,South,0
49,55702.967765089445,544.6695738178298,24,146.65078688174094,71,51,4,Female,South,1
26,59158.786179257346,703.2039174582721,31,143.11914094558227,282,50,5,Male,West,0
58,58396.856718965595,655.7707827054153,30,143.09454100426646,73,19,4,Male,East,0
52,66211.71088331932,547.9713950374548,43,114.85362214591777,354,1,5,Female,North,1
36,254852.4782908424,628.3553646065095,39,176.27738983567002,214,40,5,Female,East,1
65,56887.70118842655,597.3490516086592,32,100.63526021660729,327,32,5,Male,East,0
33,48947.51432812029,672.3422157293427,34,158.21076948828824,22,22,2,Female,South,0
20,25085.58599726013,743.8315312216201,33,118.45028420041828,67,112,2,Female,South,0
37,56444.273286988784,518.7379271247979,31,95.6659694128265,361,93,5,Female,South,1
41,53115.31530744667,658.0518255403192,29,143.70121229271047,92,66,4,Female,West,0
50,54073.6825579306,638.7907043103352,39,136.38544474735974,320,40,3,Female,West,1
41,30848.77136269536,,36,134.27891037067704,323,38,1,Female,East,0
69,,664.9237639766383,30,,62,48,2,Female,East,1
28,65797.29279999355,597.3621467782826,31,118.48427673132676,223,55,5,Female,North,0
66,49406.672692150176,627.6662245033367,16,215.53487971481755,224,75,1,Male,East,1
25,60222.510460589365,594.2781900237558,45,167.37026580784692,345,81,2,Male,East,0
53,,725.3204997019019,34,148.91307579942048,336,55,3,Female,South,0
55,50446.34209243618,651.4918154070359,33,124.47196632813554,102,51,4,Female,South,0
57,64074.25708963996,783.0833480027105,42,160.28628802386677,214,107,5,Female,South,0
37,42259.32907673939,645.7537430329766,35,140.71979105565808,191,60,3,Female,South,1
52,51441.811654114754,600.4115263162676,32,121.04819011096143,159,8,2,Male,South,1
65,43065.87066942436,,33,107.8574269893634,206,86,5,Male,North,1
42,43482.55658851527,523.7802226620838,41,116.76330649349248,268,68,1,Male,North,1
52,45362.41814797041,539.1104839896157,32,-6.8170294351222225,193,75,4,Male,North,1
42,53332.00657450569,668.6988655708038,27,128.42403357190568,151,72,2,Female,South,0
46,42818.77067504784,685.6107516260954,29,100.46095679558562,236,9,4,Female,West,1
35,68836.34188360281,539.3166508577507,24,183.70679993131535,87,90,5,Female,South,1
63,36580.89046670744,712.6526819853281,21,120.77376283247017,10,2,3,Male,South,1
35,47196.92533757961,616.1857263821593,22,72.44146321860153,186,80,4,Female,North,1
19,43404.034125887374,660.2755108389885,33,118.00479383487529,213,95,1,Female,South,0
52,71704.668265306,762.8554439778798,24,78.15515659749983,14,70,2,Male,North,0
