user_id,age,salary,department,join_date,city,performance_score,experience_years,is_active
user_0,-5,₹50000,HR,2020/12/01,DELHI,3,five,True
U1001,30,45000,Finance,15/02/2021,Delhi,3,1,yes
U1002,30,25000,HR,,Delhi,excellent,10,False
,unknown,N/A,HR,invalid,Hyderabad,excellent,5,yes
,,120000.75,IT,,DELHI,,-1,False
user_5,,25000,IT,invalid,,3,0,no
,45,25000,,invalid,mumbai,5,,
,45,45000,,invalid,Delhi,3,,yes
user_8,,N/A,HR,invalid,mumbai,3,-1,yes
U1009,200,,IT,,Bangalore,poor,1,False
U1010,45,78000,Sales,,mumbai,excellent,5,False
user_11,18,120000.75,Finance,invalid,Mumbai,,,
,60,45000,IT,invalid,,3,5,no
,-5,25000,HR,2020/12/01,Mumbai,4,10,
,,78000,HR,2022-01-15,DELHI,,1,
,45,,it ,2022-01-15,Hyderabad,4,,True
U1016,25,45000,Finance,2020/12/01,DELHI,4,1,yes
,25,120000.75,IT,,mumbai,1,3,yes
,-5,,it ,2020/12/01,Mumbai,1,5,True
,30,N/A,Finance,invalid,,4,1,True
,30,N/A,IT,invalid,,2,-1,True
,45,45000,HR,15/02/2021,Delhi,1,-1,True
,18,₹50000,it ,invalid,Bangalore,poor,1,True
U1023,60,78000,Sales,invalid,Hyderabad,,0,False
,25,120000.75,Sales,,Mumbai,2,5,yes
,unknown,45000,HR,2020/12/01,DELHI,excellent,five,
,-5,N/A,HR,2022-01-15,Hyderabad,1,-1,yes
,,25000,HR,2020/12/01,Bangalore,2,0,yes
user_28,unknown,₹50000,it ,,DELHI,poor,3,yes
user_29,25,25000,HR,2020/12/01,DELHI,poor,3,yes
U1030,200,45000,IT,2022-01-15,DELHI,3,five,yes
U1031,18,25000,Finance,invalid,Hyderabad,poor,,False
,,25000,HR,,,2,10,True
,,25000,HR,15/02/2021,Mumbai,,5,True
,200,N/A,Sales,invalid,Delhi,2,,no
U1035,18,45000,Sales,,Bangalore,,3,no
U1036,200,₹50000,IT,invalid,Bangalore,3,,no
U1037,unknown,25000,it ,2020/12/01,Bangalore,poor,1,yes
,60,120000.75,it ,,,2,,False
U1039,200,78000,,2022-01-15,DELHI,1,1,
,unknown,N/A,HR,2022-01-15,Hyderabad,excellent,,False
U1041,18,120000.75,IT,2020/12/01,Mumbai,poor,-1,
,60,45000,Sales,invalid,Mumbai,5,five,True
,,,IT,,Delhi,poor,3,yes
user_44,,45000,HR,2022-01-15,Mumbai,excellent,,yes
U1045,-5,45000,IT,15/02/2021,Mumbai,2,0,yes
,-5,,Sales,,DELHI,2,,no
,unknown,78000,it ,2022-01-15,,excellent,3,no
user_48,45,78000,HR,invalid,Delhi,4,1,True
U1049,30,₹50000,HR,,,excellent,,yes
U1050,200,₹50000,,,,3,1,no
,18,25000,IT,2020/12/01,Hyderabad,4,10,yes
,200,120000.75,Finance,2020/12/01,mumbai,poor,0,yes
user_53,45,25000,,15/02/2021,Delhi,,3,False
user_54,200,120000.75,,2022-01-15,DELHI,4,-1,
user_55,200,120000.75,HR,15/02/2021,Hyderabad,1,0,yes
U1056,18,,Finance,invalid,mumbai,1,10,no
,60,,,2020/12/01,mumbai,,3,False
user_58,-5,,Sales,2022-01-15,Mumbai,2,10,yes
,30,25000,,2022-01-15,Mumbai,3,five,
U1060,45,₹50000,HR,invalid,DELHI,1,,False
user_61,25,₹50000,Finance,2020/12/01,mumbai,3,10,yes
U1062,45,45000,it ,,DELHI,1,3,no
,-5,₹50000,IT,2020/12/01,DELHI,poor,0,
user_64,,78000,HR,,Delhi,excellent,0,yes
user_65,,N/A,HR,,mumbai,poor,3,
user_66,45,N/A,it ,15/02/2021,mumbai,excellent,10,yes
,200,,HR,invalid,,excellent,-1,False
,-5,N/A,IT,invalid,Delhi,4,-1,no
,200,45000,IT,2020/12/01,Bangalore,1,10,False
,200,78000,HR,invalid,Bangalore,excellent,five,True
user_71,60,120000.75,IT,2022-01-15,Bangalore,1,3,
,,N/A,Sales,invalid,Hyderabad,,10,yes
U1073,45,45000,IT,invalid,Hyderabad,poor,1,yes
,200,,Sales,,Hyderabad,5,3,False
user_75,18,,IT,2020/12/01,Hyderabad,1,5,True
,45,₹50000,Sales,,,5,-1,True
U1077,,N/A,HR,,Bangalore,1,3,no
U1078,200,45000,HR,,Bangalore,,1,True
U1079,-5,₹50000,IT,invalid,Mumbai,excellent,1,False
U1080,-5,N/A,HR,2022-01-15,Mumbai,4,1,no
,-5,45000,HR,2022-01-15,Delhi,poor,0,no
,45,₹50000,,,Bangalore,2,0,yes
user_83,unknown,25000,HR,2022-01-15,Delhi,5,-1,no
user_84,30,25000,HR,15/02/2021,Delhi,5,3,False
U1085,unknown,N/A,IT,2020/12/01,Delhi,3,10,
,18,N/A,Finance,2022-01-15,Hyderabad,2,10,False
user_87,30,45000,,2022-01-15,DELHI,2,five,False
U1088,,,,invalid,mumbai,4,5,no
,18,45000,Finance,,,excellent,5,False
,unknown,₹50000,HR,invalid,Hyderabad,excellent,five,False
,,N/A,it ,2020/12/01,DELHI,4,0,False
,18,₹50000,Sales,invalid,Bangalore,,5,no
,30,120000.75,,,,5,,no
user_94,18,₹50000,it ,2022-01-15,mumbai,4,3,
,-5,120000.75,,2022-01-15,Hyderabad,5,5,
,200,₹50000,it ,15/02/2021,Delhi,poor,,False
user_97,unknown,N/A,Finance,15/02/2021,Hyderabad,,10,False
U1098,,78000,IT,invalid,Delhi,poor,0,False
,45,N/A,HR,2020/12/01,Bangalore,5,-1,False
,25,45000,HR,invalid,Hyderabad,2,1,yes
U1101,60,78000,Sales,,mumbai,1,3,yes
,60,₹50000,HR,2020/12/01,mumbai,3,0,True
,-5,25000,Finance,2022-01-15,mumbai,1,five,True
user_104,25,25000,IT,2020/12/01,DELHI,3,5,
user_105,,₹50000,Finance,,DELHI,excellent,five,False
,25,78000,HR,2022-01-15,Bangalore,,10,no
U1107,18,₹50000,it ,15/02/2021,Mumbai,poor,5,no
,-5,25000,IT,,DELHI,2,0,
,18,N/A,Finance,15/02/2021,mumbai,5,3,yes
U1110,18,120000.75,Sales,invalid,mumbai,4,five,no
,18,N/A,Sales,2020/12/01,mumbai,excellent,1,yes
,-5,,IT,2022-01-15,mumbai,4,10,True
,unknown,,HR,15/02/2021,DELHI,2,3,True
,unknown,45000,,2020/12/01,mumbai,5,5,True
,-5,78000,it ,2022-01-15,,poor,3,no
U1116,-5,,Finance,2022-01-15,Bangalore,,10,no
,60,N/A,,,Mumbai,excellent,0,True
U1118,,N/A,,2020/12/01,,5,-1,no
,30,78000,,15/02/2021,mumbai,1,,
,-5,78000,it ,15/02/2021,Mumbai,4,10,False
user_121,-5,N/A,Finance,15/02/2021,Delhi,2,1,no
U1122,,₹50000,IT,invalid,,2,3,True
user_123,unknown,120000.75,IT,,Mumbai,5,5,no
U1124,30,78000,,2022-01-15,Bangalore,3,5,
,18,25000,it ,2022-01-15,Mumbai,excellent,1,
U1126,18,₹50000,HR,invalid,Mumbai,,3,True
,unknown,78000,HR,2022-01-15,,5,-1,
,200,N/A,Finance,invalid,Hyderabad,1,-1,False
U1129,18,,Finance,15/02/2021,Bangalore,1,five,True
,18,120000.75,,15/02/2021,Bangalore,excellent,5,True
,,25000,IT,invalid,Mumbai,2,five,no
U1132,unknown,78000,,2022-01-15,Mumbai,4,10,yes
,45,₹50000,HR,2022-01-15,,,-1,True
,45,,Sales,2020/12/01,,poor,-1,
,,78000,HR,2020/12/01,Delhi,3,-1,
,25,78000,IT,invalid,mumbai,1,-1,yes
,45,120000.75,Sales,2022-01-15,Hyderabad,1,-1,False
U1138,60,120000.75,IT,invalid,Mumbai,3,five,
,200,,Sales,2022-01-15,mumbai,5,10,yes
,30,₹50000,IT,2022-01-15,DELHI,,10,
,unknown,N/A,Sales,2020/12/01,,1,,False
U1142,45,45000,,2020/12/01,Delhi,1,3,True
,25,₹50000,,2022-01-15,,4,5,False
user_144,-5,₹50000,,2020/12/01,DELHI,excellent,,
user_145,200,₹50000,Sales,2020/12/01,Bangalore,5,3,False
user_146,200,120000.75,Finance,2020/12/01,Delhi,5,-1,yes
,-5,78000,HR,2022-01-15,,4,,no
,30,120000.75,Finance,,Delhi,3,3,
U1149,25,78000,IT,15/02/2021,mumbai,5,0,yes
,18,N/A,,15/02/2021,Delhi,4,-1,True
user_151,60,,Sales,2022-01-15,Bangalore,3,0,True
U1152,,78000,it ,2022-01-15,Delhi,1,3,False
,200,₹50000,IT,,Hyderabad,3,5,False
,25,N/A,it ,,Delhi,4,-1,
,60,₹50000,it ,2020/12/01,Mumbai,excellent,1,yes
,30,78000,HR,invalid,Delhi,4,1,True
,unknown,25000,Finance,invalid,Delhi,3,,True
,200,,HR,invalid,Mumbai,,5,no
,45,45000,IT,invalid,DELHI,excellent,,no
user_160,unknown,45000,HR,15/02/2021,mumbai,2,3,
user_161,-5,,,,Mumbai,poor,5,
U1162,,,,15/02/2021,Delhi,1,-1,no
,25,,Sales,2020/12/01,DELHI,,10,no
user_164,-5,78000,Sales,,DELHI,1,0,False
user_165,18,N/A,HR,invalid,Bangalore,3,,no
user_166,60,120000.75,IT,2020/12/01,,excellent,-1,False
U1167,-5,78000,IT,invalid,Hyderabad,5,,True
,60,120000.75,HR,2022-01-15,mumbai,1,10,
,unknown,N/A,IT,2022-01-15,Bangalore,2,1,True
user_170,unknown,45000,HR,invalid,,excellent,five,yes
,unknown,78000,HR,15/02/2021,Bangalore,5,0,no
,60,25000,HR,2022-01-15,mumbai,4,1,
,200,78000,,2020/12/01,mumbai,poor,,no
user_174,60,45000,IT,,Mumbai,poor,10,yes
,,N/A,IT,,mumbai,excellent,,yes
,25,78000,IT,invalid,Bangalore,4,,no
U1177,30,120000.75,,invalid,Mumbai,1,1,False
,18,N/A,it ,invalid,mumbai,1,five,True
,60,N/A,IT,2020/12/01,Mumbai,5,,True
,45,₹50000,HR,invalid,mumbai,4,3,yes
,30,,IT,2020/12/01,Mumbai,2,10,
U1182,-5,120000.75,,,Hyderabad,,3,
,45,120000.75,,2020/12/01,Mumbai,excellent,3,True
user_184,45,₹50000,HR,,,poor,-1,no
,25,N/A,Finance,2020/12/01,Delhi,poor,five,
,200,₹50000,IT,15/02/2021,DELHI,3,5,False
,45,45000,,,,2,,yes
,25,78000,Sales,15/02/2021,Bangalore,excellent,-1,
,,25000,Sales,2022-01-15,Hyderabad,,3,no
user_190,60,,IT,2020/12/01,DELHI,excellent,0,False
,25,,Finance,15/02/2021,mumbai,excellent,3,False
user_192,-5,45000,Sales,2020/12/01,Hyderabad,2,1,no
,18,25000,HR,invalid,,poor,-1,True
,-5,,it ,,Delhi,4,5,True
U1195,unknown,,Finance,2020/12/01,Delhi,,3,
,25,₹50000,HR,,,poor,3,yes
user_197,45,,IT,2022-01-15,,,0,no
user_198,45,120000.75,,invalid,DELHI,1,,yes
U1199,-5,25000,HR,15/02/2021,Bangalore,4,five,False
user_200,unknown,25000,HR,2022-01-15,mumbai,3,10,True
,60,25000,Sales,invalid,DELHI,,five,
,60,45000,HR,,,5,0,False
U1203,-5,25000,HR,2020/12/01,DELHI,excellent,-1,yes
U1204,,78000,HR,15/02/2021,mumbai,3,five,no
user_205,30,45000,Finance,2020/12/01,Delhi,4,5,no
U1206,-5,₹50000,HR,2020/12/01,Bangalore,1,five,True
,30,N/A,Finance,invalid,Delhi,1,10,yes
,18,120000.75,,2022-01-15,Mumbai,2,-1,
user_209,200,,HR,2022-01-15,Delhi,excellent,0,True
,-5,120000.75,IT,invalid,Bangalore,4,10,yes
U1211,30,N/A,Sales,2020/12/01,Delhi,2,3,True
U1212,-5,78000,,2022-01-15,Bangalore,2,10,
,18,45000,Finance,2022-01-15,Mumbai,4,0,
,25,78000,Sales,2020/12/01,Delhi,5,five,
,-5,N/A,HR,2020/12/01,Hyderabad,poor,1,yes
user_216,18,78000,Finance,2022-01-15,Delhi,poor,,yes
,18,78000,HR,invalid,mumbai,2,,yes
user_218,25,120000.75,,,Mumbai,poor,-1,False
,60,25000,it ,invalid,,1,10,no
user_220,30,₹50000,Finance,2022-01-15,Bangalore,excellent,five,
U1221,-5,,IT,invalid,Delhi,excellent,1,False
,18,120000.75,IT,invalid,,2,0,
,-5,N/A,,2020/12/01,Delhi,poor,1,False
,unknown,120000.75,IT,2020/12/01,DELHI,3,1,False
user_225,-5,78000,it ,15/02/2021,DELHI,2,3,no
,unknown,25000,it ,,DELHI,excellent,10,no
,200,N/A,IT,15/02/2021,Hyderabad,2,-1,no
,18,₹50000,HR,,Bangalore,1,0,
U1229,200,120000.75,HR,2020/12/01,mumbai,,0,yes
U1230,45,45000,HR,2022-01-15,DELHI,2,10,True
U1231,30,45000,Finance,2022-01-15,,4,five,False
U1232,18,₹50000,,2022-01-15,Hyderabad,excellent,1,True
user_233,18,78000,,2022-01-15,Bangalore,4,five,
,200,N/A,Finance,2022-01-15,Hyderabad,poor,,True
U1235,unknown,N/A,,2020/12/01,Bangalore,2,5,
U1236,unknown,N/A,it ,2022-01-15,Hyderabad,excellent,5,True
,200,,IT,,Delhi,2,-1,
,45,25000,Sales,,mumbai,3,0,yes
user_239,25,25000,,,,5,1,False
,30,120000.75,,15/02/2021,mumbai,2,,yes
user_241,60,120000.75,HR,invalid,,2,-1,
U1242,18,25000,Finance,2020/12/01,Delhi,1,1,yes
,60,N/A,HR,2020/12/01,Bangalore,2,,False
user_244,unknown,,Sales,2020/12/01,Bangalore,5,3,False
,unknown,₹50000,,2022-01-15,Hyderabad,2,1,False
user_246,30,N/A,Finance,,Delhi,5,,no
U1247,18,120000.75,Sales,15/02/2021,mumbai,5,10,yes
,60,₹50000,Sales,15/02/2021,Bangalore,5,3,
user_249,unknown,78000,Sales,15/02/2021,Hyderabad,poor,five,True
U1250,200,120000.75,Finance,invalid,mumbai,5,-1,False
,200,N/A,HR,invalid,,poor,-1,False
,45,₹50000,IT,2022-01-15,Mumbai,excellent,3,False
U1253,,N/A,it ,2020/12/01,Bangalore,excellent,3,yes
user_254,60,,HR,2020/12/01,Hyderabad,excellent,10,yes
,200,120000.75,IT,,mumbai,2,3,True
,60,78000,Sales,,Delhi,3,five,
,45,25000,,15/02/2021,Mumbai,excellent,3,False
user_258,,45000,Sales,2020/12/01,Bangalore,5,5,False
,30,25000,Finance,15/02/2021,Bangalore,5,5,False
user_260,18,78000,Sales,2020/12/01,mumbai,2,0,yes
user_261,200,45000,Finance,2020/12/01,Bangalore,poor,3,
user_262,60,25000,IT,invalid,Bangalore,5,3,no
,,,,2022-01-15,Hyderabad,5,3,False
,45,25000,,15/02/2021,mumbai,3,3,False
user_265,,45000,Finance,2020/12/01,mumbai,2,3,True
,45,78000,Sales,2020/12/01,Mumbai,1,1,no
U1267,30,78000,it ,invalid,,2,10,no
user_268,,120000.75,Sales,,Hyderabad,2,,True
user_269,18,,IT,2022-01-15,Hyderabad,3,1,True
,,₹50000,Finance,2020/12/01,Mumbai,excellent,3,True
U1271,25,₹50000,Sales,2020/12/01,DELHI,5,1,True
user_272,60,N/A,Finance,2020/12/01,mumbai,excellent,1,True
U1273,60,78000,Finance,15/02/2021,mumbai,4,5,no
user_274,30,120000.75,it ,invalid,Hyderabad,4,5,
user_275,60,,HR,2020/12/01,Mumbai,5,5,no
U1276,18,78000,,2022-01-15,Bangalore,1,,yes
,60,₹50000,Sales,invalid,Bangalore,poor,1,no
,unknown,120000.75,IT,,Bangalore,3,five,no
U1279,45,45000,HR,,Mumbai,5,,
U1280,18,78000,HR,invalid,Delhi,,,
user_281,60,78000,IT,2020/12/01,Mumbai,5,,True
user_282,unknown,45000,,,Hyderabad,5,3,
,45,45000,HR,invalid,DELHI,2,five,False
,,78000,HR,,Hyderabad,1,0,True
user_285,25,N/A,Sales,invalid,Delhi,poor,-1,True
U1286,200,25000,,2022-01-15,Delhi,2,-1,no
,-5,,it ,,Bangalore,excellent,5,False
user_288,unknown,120000.75,Sales,2022-01-15,Delhi,1,10,True
user_289,200,120000.75,it ,,,3,,True
,unknown,₹50000,it ,,Mumbai,4,1,
,18,25000,HR,15/02/2021,DELHI,5,1,no
,unknown,,Finance,,Delhi,5,5,no
,30,25000,HR,invalid,mumbai,4,,yes
,,120000.75,,invalid,DELHI,4,five,no
U1295,18,120000.75,it ,invalid,Bangalore,1,3,yes
user_296,30,78000,IT,2022-01-15,Bangalore,4,five,True
,18,25000,Sales,2020/12/01,Mumbai,poor,5,False
,,,HR,2020/12/01,Bangalore,1,10,True
,18,120000.75,,,DELHI,poor,-1,False
,-5,N/A,Sales,,Delhi,5,10,
,18,45000,it ,2022-01-15,DELHI,poor,3,no
,-5,25000,it ,15/02/2021,,3,,no
U1303,-5,,Finance,15/02/2021,mumbai,poor,0,no
U1304,-5,N/A,,2022-01-15,,5,0,
,-5,45000,it ,15/02/2021,mumbai,4,0,False
,60,,it ,invalid,mumbai,2,10,
,-5,45000,IT,invalid,Delhi,poor,1,yes
user_308,45,N/A,it ,,Mumbai,2,3,no
,18,120000.75,HR,15/02/2021,Mumbai,,3,False
,200,45000,HR,15/02/2021,Bangalore,5,,yes
U1311,200,25000,Sales,invalid,mumbai,poor,five,
,unknown,45000,Finance,2020/12/01,mumbai,poor,3,yes
,18,45000,Sales,invalid,Mumbai,,10,no
,200,,Finance,2020/12/01,DELHI,1,0,True
U1315,unknown,N/A,,,mumbai,poor,,True
,60,N/A,Finance,,mumbai,5,10,False
U1317,-5,,HR,,Bangalore,3,0,no
U1318,-5,N/A,Finance,invalid,Delhi,excellent,,True
,45,N/A,HR,,,2,five,False
,30,78000,,2020/12/01,Mumbai,excellent,5,no
U1321,60,₹50000,HR,15/02/2021,Bangalore,4,,True
,unknown,120000.75,Finance,invalid,mumbai,1,0,no
,-5,,Finance,,mumbai,3,five,False
,25,120000.75,IT,2020/12/01,Bangalore,3,5,
,60,25000,IT,15/02/2021,Hyderabad,4,3,no
user_326,18,N/A,HR,2020/12/01,Delhi,4,five,no
,60,45000,Finance,invalid,Bangalore,poor,5,True
,-5,₹50000,Sales,,mumbai,5,5,
user_329,60,₹50000,,2022-01-15,DELHI,,,
